GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.17%,3740
NVIDIA GeForce GTX 1050 Ti,-0.48%,2356
NVIDIA GeForce GTX 1070,+0.32%,6083
NVIDIA GeForce GTX 1080,+0.28%,7584
NVIDIA GeForce GTX 970,+0.17%,3659
NVIDIA GeForce GTX 960,-0.01%,2308
NVIDIA GeForce GTX 1080 Ti,+0.18%,9926
AMD Radeon RX 580,+0.10%,4294
NVIDIA GeForce GTX 1070 Ti,+0.12%,6825
AMD Radeon RX 570,+0.01%,3812
AMD Radeon RX 480,+0.03%,4087
NVIDIA GeForce GTX 980,+0.05%,4383
NVIDIA GeForce GTX 980 Ti,+0.04%,5802
NVIDIA GeForce GTX 970M,+0.02%,2282
AMD Radeon RX 470,-0.03%,3643
