GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.41%,3740
NVIDIA GeForce GTX 1070,-0.13%,6083
NVIDIA GeForce GTX 1080,-0.13%,7584
NVIDIA GeForce GTX 1080 Ti,-0.12%,9926
AMD Radeon RX 580,+0.07%,4294
NVIDIA GeForce RTX 2060,+0.06%,7592
NVIDIA GeForce RTX 2070,-0.05%,9125
NVIDIA GeForce GTX 1660 Ti,+0.23%,6379
NVIDIA GeForce GTX 1070 Ti,-0.03%,6825
NVIDIA GeForce RTX 2080,-0.02%,11091
NVIDIA GeForce GTX 1660,+0.24%,5469
AMD Radeon RX 570,+0.11%,3812
AMD Radeon RX 480,-0.03%,4087
NVIDIA GeForce RTX 2080 Ti,+0.03%,14761
NVIDIA GeForce GTX 980,-0.02%,4383
NVIDIA GeForce GTX 980 Ti,-0.03%,5802
