GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+1.32%,3740
NVIDIA GeForce GTX 960,+1.00%,2308
NVIDIA GeForce GTX 1050 Ti,+1.85%,2356
NVIDIA GeForce GTX 970,-1.17%,3659
NVIDIA GeForce GTX 1050,+1.03%,1738
NVIDIA GeForce GTX 1070,-0.64%,6083
NVIDIA GeForce GTX 950,+0.37%,1922
NVIDIA GeForce GTX 1080,-0.34%,7584
NVIDIA GeForce GTX 980,-0.20%,4383
AMD Radeon RX 480,-0.24%,4087
NVIDIA GeForce GTX 770,-0.23%,2158
NVIDIA GeForce GTX 1080 Ti,-0.01%,9926
NVIDIA GeForce GTX 980 Ti,-0.24%,5802
NVIDIA GeForce GTX 970M,-0.12%,2282
AMD Radeon RX 460,+0.01%,1739
NVIDIA GeForce GTX 965M,-0.01%,1809
