GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.50%,3740
NVIDIA GeForce GTX 1050 Ti,-0.09%,2356
NVIDIA GeForce GTX 1070,-0.14%,6083
NVIDIA GeForce GTX 960,-0.01%,2308
NVIDIA GeForce GTX 1080,-0.29%,7584
NVIDIA GeForce GTX 970,-0.17%,3659
NVIDIA GeForce GTX 1080 Ti,-0.15%,9926
AMD Radeon RX 580,+0.10%,4294
NVIDIA GeForce GTX 1070 Ti,-0.03%,6825
AMD Radeon RX 570,+0.10%,3812
AMD Radeon RX 480,-0.01%,4087
NVIDIA GeForce GTX 980,-0.06%,4383
NVIDIA GeForce GTX 980 Ti,-0.04%,5802
AMD Radeon RX 470,-0.05%,3643
NVIDIA GeForce GTX 970M,0.00%,2282
