GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+1.26%,3740
NVIDIA GeForce GTX 960,+1.24%,2308
NVIDIA GeForce GTX 970,+0.42%,3659
NVIDIA GeForce GTX 1050 Ti,+0.81%,2356
NVIDIA GeForce GTX 1070,+0.44%,6083
NVIDIA GeForce GTX 950,+0.50%,1922
NVIDIA GeForce GTX 1080,+0.24%,7584
AMD Radeon RX 480,+0.03%,4087
NVIDIA GeForce GTX 980,+0.05%,4383
NVIDIA GeForce GTX 770,+0.07%,2158
NVIDIA GeForce GTX 980 Ti,+0.06%,5802
NVIDIA GeForce GTX 970M,+0.02%,2282
NVIDIA GeForce GTX 1080 Ti,+0.13%,9926
AMD Radeon RX 470,+0.05%,3643
NVIDIA GeForce GTX 980M,+0.04%,2932
NVIDIA GeForce GTX 780,+0.02%,2844
NVIDIA GeForce GTX 670,-0.01%,1856
