GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+1.10%,3740
NVIDIA GeForce GTX 960,+0.77%,2308
NVIDIA GeForce GTX 970,-0.02%,3659
NVIDIA GeForce GTX 1070,+0.26%,6083
NVIDIA GeForce GTX 1050 Ti,+0.76%,2356
NVIDIA GeForce GTX 950,+0.27%,1922
NVIDIA GeForce GTX 1050,+0.20%,1738
NVIDIA GeForce GTX 1080,+0.05%,7584
AMD Radeon RX 480,-0.04%,4087
NVIDIA GeForce GTX 770,-0.04%,2158
NVIDIA GeForce GTX 980,-0.03%,4383
NVIDIA GeForce GTX 980 Ti,-0.03%,5802
NVIDIA GeForce GTX 970M,0.00%,2282
AMD Radeon RX 460,0.00%,1739
AMD Radeon RX 470,+0.01%,3643
NVIDIA GeForce GTX 965M,+0.03%,1809
NVIDIA GeForce GTX 780,-0.01%,2844
NVIDIA GeForce GTX 980M,0.00%,2932
NVIDIA GeForce GTX 670,-0.02%,1856
