GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.17%,3740
NVIDIA GeForce GTX 960,0.00%,2308
NVIDIA GeForce GTX 970,-0.30%,3659
NVIDIA GeForce GTX 1070,-0.14%,6083
NVIDIA GeForce GTX 1050 Ti,+0.54%,2356
NVIDIA GeForce GTX 950,-0.03%,1922
NVIDIA GeForce GTX 1080,+0.04%,7584
AMD Radeon RX 480,-0.08%,4087
NVIDIA GeForce GTX 980,-0.05%,4383
NVIDIA GeForce GTX 770,-0.06%,2158
NVIDIA GeForce GTX 980 Ti,-0.05%,5802
NVIDIA GeForce GTX 970M,-0.05%,2282
AMD Radeon RX 460,+0.03%,1739
NVIDIA GeForce GTX 1080 Ti,+0.11%,9926
AMD Radeon RX 470,-0.04%,3643
NVIDIA GeForce GTX 965M,-0.03%,1809
NVIDIA GeForce GTX 780,-0.03%,2844
NVIDIA GeForce GTX 670,-0.01%,1856
NVIDIA GeForce GTX 980M,-0.02%,2932
