GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.11%,3740
NVIDIA GeForce GTX 1050 Ti,-1.79%,2356
NVIDIA GeForce GTX 1070,+0.50%,6083
NVIDIA GeForce GTX 960,-0.13%,2308
NVIDIA GeForce GTX 970,+0.33%,3659
NVIDIA GeForce GTX 1080,+0.28%,7584
NVIDIA GeForce GTX 1080 Ti,+0.18%,9926
NVIDIA GeForce GTX 950,-0.26%,1922
NVIDIA GeForce GTX 1070 Ti,+0.23%,6825
AMD Radeon RX 480,+0.06%,4087
AMD Radeon RX 580,+0.14%,4294
NVIDIA GeForce GTX 980,+0.06%,4383
NVIDIA GeForce GTX 980 Ti,+0.04%,5802
NVIDIA GeForce GTX 770,+0.05%,2158
NVIDIA GeForce GTX 970M,+0.06%,2282
