GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.96%,3740
NVIDIA GeForce GTX 1050 Ti,+0.02%,2356
NVIDIA GeForce GTX 1070,-0.21%,6083
NVIDIA GeForce GTX 960,-0.14%,2308
NVIDIA GeForce GTX 970,-0.28%,3659
NVIDIA GeForce GTX 1080,-0.11%,7584
NVIDIA GeForce GTX 1080 Ti,0.00%,9926
NVIDIA GeForce GTX 950,+0.17%,1922
NVIDIA GeForce GTX 1070 Ti,+0.09%,6825
AMD Radeon RX 580,+0.05%,4294
AMD Radeon RX 480,-0.03%,4087
NVIDIA GeForce GTX 980,-0.05%,4383
NVIDIA GeForce GTX 980 Ti,-0.03%,5802
NVIDIA GeForce GTX 770,-0.05%,2158
NVIDIA GeForce GTX 970M,-0.03%,2282
AMD Radeon RX 460,+0.03%,1739
