GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-1.61%,3740
NVIDIA GeForce GTX 1050 Ti,-2.59%,2356
NVIDIA GeForce GTX 960,-4.79%,2308
NVIDIA GeForce GTX 1070,+1.25%,6083
NVIDIA GeForce GTX 970,+1.14%,3659
NVIDIA GeForce GTX 1080,+0.81%,7584
NVIDIA GeForce GTX 950,-2.64%,1922
NVIDIA GeForce GTX 1080 Ti,+0.46%,9926
AMD Radeon RX 480,+0.24%,4087
NVIDIA GeForce GTX 980,+0.24%,4383
NVIDIA GeForce GTX 980 Ti,+0.22%,5802
NVIDIA GeForce GTX 770,+0.21%,2158
NVIDIA GeForce GTX 970M,+0.19%,2282
NVIDIA GeForce GTX 1070 Ti,+0.10%,6825
AMD Radeon RX 580,+0.32%,4294
NVIDIA GeForce GTX 965M,+0.30%,1809
