GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,-1.22%,12
NVIDIA GeForce GTX 750 Ti,-0.19%,12
NVIDIA GeForce GTX 960,-1.50%,12
NVIDIA GeForce GTX 1050 Ti,-0.16%,12
NVIDIA GeForce GTX 950,-0.35%,12
NVIDIA GeForce GTX 1050,+0.22%,12
NVIDIA GeForce GTX 750,+0.16%,12
NVIDIA GeForce GTX 970,+0.15%,12
NVIDIA GeForce GTX 1070,+0.23%,12
NVIDIA GeForce GTX 760,-0.02%,12
NVIDIA GeForce GTX 1080,+0.20%,12
NVIDIA GeForce GTX 660,+0.02%,12
NVIDIA GeForce GTX 960M,+0.07%,12
NVIDIA GeForce GT 730,+0.14%,12
NVIDIA GeForce GTX 650,+0.14%,12
NVIDIA GeForce GTX 950M,+0.06%,12
AMD Radeon R7 Graphics,+0.05%,12
NVIDIA GeForce 940M,+0.05%,12
NVIDIA GeForce GT 720M,+0.05%,12
NVIDIA GeForce GTX 1080 Ti,+0.09%,12
AMD Radeon R7 300 Series,+0.05%,12
AMD Radeon HD 7700 Series,+0.04%,12
NVIDIA GeForce GT 630,+0.07%,12
AMD Radeon R5 Graphics,+0.04%,12
AMD Radeon HD 8800 Series,+0.04%,12
NVIDIA GeForce GTX 650 Ti,+0.04%,12
AMD Radeon HD 8470D,+0.05%,12
AMD Radeon HD 7800 Series,+0.03%,12
Intel HD Graphics 520,+0.03%,12
AMD Radeon RX 460,+0.01%,12
Intel HD Graphics 5500,+0.02%,12
AMD Radeon HD 7900 Series,+0.04%,12
Intel HD Graphics 4600,+0.02%,12
AMD Radeon RX 480,+0.32%,12
NVIDIA GeForce GTX 980,+0.31%,12
Other,+0.73%,12
