GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.78%,3740
NVIDIA GeForce GTX 1050 Ti,+0.28%,2356
NVIDIA GeForce GTX 1070,-0.16%,6083
NVIDIA GeForce GTX 960,-0.08%,2308
NVIDIA GeForce GTX 1080,0.00%,7584
NVIDIA GeForce GTX 970,-0.19%,3659
NVIDIA GeForce GTX 1080 Ti,-0.03%,9926
NVIDIA GeForce GTX 1070 Ti,+0.07%,6825
AMD Radeon RX 580,+0.06%,4294
AMD Radeon RX 480,-0.03%,4087
NVIDIA GeForce GTX 980,-0.02%,4383
NVIDIA GeForce GTX 980 Ti,-0.04%,5802
AMD Radeon RX 570,+0.12%,3812
NVIDIA GeForce GTX 970M,-0.02%,2282
AMD Radeon RX 470,+0.04%,3643
