GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 970,-0.38%,3659
NVIDIA GeForce GTX 1060,+0.17%,3740
NVIDIA GeForce GTX 960,-0.23%,2308
NVIDIA GeForce GTX 1070,-0.05%,6083
NVIDIA GeForce GTX 1050 Ti,+0.30%,2356
NVIDIA GeForce GTX 950,+0.06%,1922
NVIDIA GeForce GTX 1080,+0.02%,7584
NVIDIA GeForce GTX 1050,+0.46%,1738
AMD Radeon RX 480,-0.04%,4087
NVIDIA GeForce GTX 770,-0.05%,2158
NVIDIA GeForce GTX 980,-0.09%,4383
NVIDIA GeForce GTX 980 Ti,-0.06%,5802
NVIDIA GeForce GTX 970M,-0.07%,2282
AMD Radeon RX 460,+0.06%,1739
AMD Radeon RX 470,-0.02%,3643
NVIDIA GeForce GTX 780,-0.02%,2844
NVIDIA GeForce GTX 670,-0.02%,1856
NVIDIA GeForce GTX 965M,-0.04%,1809
NVIDIA GeForce GTX 980M,-0.02%,2932
