GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,-1.76%,12
NVIDIA GeForce GTX 1050 Ti,-0.84%,12
NVIDIA GeForce GTX 1050,-0.39%,12
NVIDIA GeForce GTX 1070,-0.47%,12
NVIDIA GeForce GTX 1080,-0.33%,12
NVIDIA GeForce GTX 970,-0.30%,12
NVIDIA GeForce GTX 960,-0.45%,12
NVIDIA GeForce GTX 750 Ti,-0.22%,12
NVIDIA GeForce GTX 1080 Ti,-0.16%,12
NVIDIA GeForce RTX 2060,+1.62%,12
AMD Radeon RX 580,-0.05%,12
NVIDIA GeForce RTX 2070,+1.58%,12
NVIDIA GeForce GTX 960M,-0.20%,12
NVIDIA GeForce GTX 1070 Ti,-0.16%,12
NVIDIA GeForce GTX 1660 Ti,+1.23%,12
NVIDIA GeForce GT 730,-0.05%,12
NVIDIA GeForce 940M,-0.14%,12
NVIDIA GeForce RTX 2080,+0.98%,12
NVIDIA GeForce GTX 950,-0.05%,12
Intel HD Graphics 620,-0.04%,12
AMD Radeon R7 Graphics,-0.14%,12
NVIDIA GeForce GTX 950M,-0.14%,12
NVIDIA GeForce GTX 750,+0.06%,12
Intel UHD Graphics 620,+0.12%,12
AMD Radeon RX 570,-0.02%,12
NVIDIA GeForce GTX 1650,+0.74%,12
NVIDIA GeForce GTX 650,+0.06%,12
Intel HD Graphics 520,-0.06%,12
NVIDIA GeForce GT 1030,-0.06%,12
NVIDIA GeForce GTX 1660,+0.68%,12
NVIDIA GeForce GTX 760,-0.08%,12
AMD Radeon RX 480,-0.05%,12
AMD Radeon R5 Graphics,-0.09%,12
NVIDIA GeForce GT 720M,-0.11%,12
NVIDIA GeForce MX150,-0.04%,12
NVIDIA GeForce GTX 660,-0.09%,12
NVIDIA GeForce RTX 2080 Ti,+0.56%,12
Intel HD Graphics 6000,-0.02%,12
NVIDIA GeForce GTX 980,-0.07%,12
Intel HD Graphics 5500,-0.07%,12
Intel HD Graphics 630,-0.06%,12
Intel HD Graphics 4600,-0.06%,12
Intel UHD Graphics 630,+0.05%,12
NVIDIA GeForce GTX 980 Ti,-0.06%,12
NVIDIA GeForce GT 630,-0.01%,12
NVIDIA GeForce 920M,-0.07%,12
AMD Radeon HD 7900 Series,-0.04%,12
AMD Radeon RX 560,-0.01%,12
AMD Radeon HD 7700 Series,-0.06%,12
AMD Radeon RX 460,-0.07%,12
AMD Radeon HD 8800 Series,-0.03%,12
NVIDIA GeForce 840M,-0.06%,12
NVIDIA GeForce GTX 770,-0.04%,12
NVIDIA GeForce GTX 970M,-0.05%,12
NVIDIA GeForce GT 710,-0.02%,12
Intel HD Graphics 530,-0.03%,12
AMD Radeon RX 470,-0.02%,12
AMD Radeon RX Vega,-0.03%,12
NVIDIA GeForce GTX 550 Ti,-0.08%,12
AMD Radeon RX 550,+0.32%,12
AMD Radeon Vega 8 Graphics,+0.31%,12
AMD Radeon R7 300 Series,-0.03%,12
Intel Iris Plus Graphics 640,+0.30%,12
Other,+0.81%,12
