GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,+0.30%,3740
NVIDIA GeForce GTX 1050 Ti,+0.86%,2356
NVIDIA GeForce GTX 960,-0.17%,2308
NVIDIA GeForce GTX 1070,-0.03%,6083
NVIDIA GeForce GTX 970,-0.29%,3659
NVIDIA GeForce GTX 1080,-0.08%,7584
NVIDIA GeForce GTX 1080 Ti,+0.02%,9926
NVIDIA GeForce GTX 1070 Ti,+0.07%,6825
AMD Radeon RX 480,-0.04%,4087
NVIDIA GeForce GTX 980,-0.05%,4383
NVIDIA GeForce GTX 980 Ti,-0.05%,5802
NVIDIA GeForce GTX 770,-0.03%,2158
NVIDIA GeForce GTX 970M,-0.04%,2282
AMD Radeon RX 580,+0.03%,4294
