GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.54%,3740
NVIDIA GeForce GTX 1050 Ti,+0.05%,2356
NVIDIA GeForce GTX 1070,+0.19%,6083
NVIDIA GeForce GTX 960,-0.07%,2308
NVIDIA GeForce GTX 970,-0.04%,3659
NVIDIA GeForce GTX 1080,-0.02%,7584
NVIDIA GeForce GTX 1080 Ti,-0.04%,9926
NVIDIA GeForce GTX 1070 Ti,+0.07%,6825
NVIDIA GeForce GTX 950,-0.28%,1922
AMD Radeon RX 580,+0.16%,4294
AMD Radeon RX 480,-0.01%,4087
NVIDIA GeForce GTX 980,0.00%,4383
NVIDIA GeForce GTX 980 Ti,0.00%,5802
NVIDIA GeForce GTX 770,-0.02%,2158
NVIDIA GeForce GTX 970M,-0.03%,2282
AMD Radeon RX 560,+0.30%,1840
