GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 1060,-0.24%,3740
NVIDIA GeForce GTX 1050 Ti,+0.84%,2356
NVIDIA GeForce GTX 1070,-0.01%,6083
NVIDIA GeForce GTX 1080,+0.07%,7584
NVIDIA GeForce GTX 970,+0.01%,3659
NVIDIA GeForce GTX 960,-0.41%,2308
NVIDIA GeForce GTX 1080 Ti,+0.04%,9926
AMD Radeon RX 580,+0.08%,4294
NVIDIA GeForce GTX 1070 Ti,-0.03%,6825
AMD Radeon RX 480,+0.01%,4087
AMD Radeon RX 570,+0.19%,3812
NVIDIA GeForce GTX 980,+0.03%,4383
NVIDIA GeForce GTX 980 Ti,+0.01%,5802
AMD Radeon RX 470,+0.10%,3643
