GPU Name,Change (%),Performance (3DMark)
NVIDIA GeForce GTX 970,+0.17%,3659
NVIDIA GeForce GTX 960,+0.23%,2308
NVIDIA GeForce GTX 1060,+0.37%,3740
NVIDIA GeForce GTX 1070,+0.26%,6083
NVIDIA GeForce GTX 760,+0.03%,1690
NVIDIA GeForce GTX 950,+0.14%,1922
NVIDIA GeForce GTX 1080,+0.20%,7584
NVIDIA GeForce GTX 1050 Ti,+0.29%,2356
NVIDIA GeForce GTX 980,+0.03%,4383
NVIDIA GeForce GTX 770,+0.02%,2158
NVIDIA GeForce GTX 980 Ti,+0.04%,5802
AMD Radeon RX 480,+0.19%,4087
NVIDIA GeForce GTX 970M,-0.06%,2282
NVIDIA GeForce GTX 1050,+0.26%,1738
NVIDIA GeForce GTX 780,-0.01%,2844
NVIDIA GeForce GTX 670,+0.01%,1856
AMD Radeon RX 460,+0.04%,1739
NVIDIA GeForce GTX 980M,0.00%,2932
AMD Radeon RX 470,+0.05%,3643
NVIDIA GeForce GTX 965M,-0.01%,1809
